DEFN-NAME,COUNT,DESCRIPTION,GUID
HF_10_inch_caster,2,,96b0971d-b5f4-447b-9fe0-8b07e8ad228b
HF_10_inch_wheel,2,,cf739dc9-1c9b-42c3-ae12-a94b4911a620
STEEL_1X1X15,2,,9bebe7e6-648b-4598-ad2a-6ff7415d8dc0
STEEL_1x1_45degree,2,,4fe64123-18a4-4b06-8259-8eca5a94b213
axle_bolt,2,,83eb1c21-62c4-4a9c-afd8-224abb17ca9a
axle_mount,4,,934c4445-39a9-4b1a-80b7-f25ae794f170
blade,1,,e41d56d7-c445-410c-a2e1-e423fd6a3943
drive_hub_b,2,,6c2192de-c2f9-492e-8438-dfcaa45c20b4
gearbox,1,,d2f7f2f7-17f3-47aa-b8fd-568315d959f1
hub_side,3,,69aaea5d-b697-4460-9744-6f3e09600eaf
motor,1,,2525e3cd-9ab9-45a4-bf19-29edcbe03908
mount_plate,1,,514fae01-738b-4641-9daf-d46903f93680
nipple_side,1,,5613d8d7-c091-4cf1-b527-1a27bed132f9
steel_.5x.5x12,2,,2a45e524-362e-48ec-bef6-910df68103c2
steel_.5x.5x15,4,,478bb290-32ec-430a-aa42-7cba6bf28c6d
steel_.5x.5x3,2,,731b52ca-6edd-4f40-904f-e759e52376ec
"steel_.5x.5x_2.5""",10,,ce84ecab-edf7-43f9-b103-2f6602766b87
"steel_12""",2,,7b211d77-ce71-4da9-a45f-0a5857bebf80
"steel_12""#1",2,,8dbc4b95-6b5f-43f1-ac3d-2e7ef4fef669
steel_1x1_top_rail,2,,e0c3b7cc-4768-4a3b-be75-10e97ca54716
steel_1x1x12,2,,86dcdaab-63ed-4e10-b4f5-b613856bf582
steel_1x1x17,1,,23abbebf-6319-4e36-b1b6-003fbd3c179d
tongue,1,,aa146e0d-63b9-4c5a-b4b8-3512b5fb2c35
window_motor_R,2,,bc28141e-8559-465e-85b3-12a15a096985
